Year-Week,Positive_Pools,Total_Mosquitoes,MIR
2007-22,0,39,0.0
2007-23,0,112,0.0
2007-26,0,294,0.0
2007-27,0,239,0.0
2007-28,0,1088,0.0
2007-29,1,1533,0.0006523157208088715
2007-30,5,4305,0.0011614401858304297
2007-31,18,9008,0.0019982238010657193
2007-32,17,6110,0.0027823240589198036
2007-33,55,10425,0.005275779376498801
2007-34,88,7035,0.012508884150675196
2007-35,8,3926,0.0020376974019358125
2007-36,19,3976,0.004778672032193159
2007-37,5,1147,0.004359197907585004
2007-38,1,2120,0.0004716981132075472
2007-39,0,911,0.0
2007-40,2,1310,0.0015267175572519084
2007-41,0,333,0.0
2008-24,0,178,0.0
2008-25,0,218,0.0
2008-26,0,403,0.0
2008-27,0,831,0.0
2008-28,1,659,0.0015174506828528073
2008-29,0,271,0.0
2008-30,0,2603,0.0
2008-31,2,1051,0.0019029495718363464
2008-32,3,1897,0.0015814443858724301
2008-33,13,2443,0.005321326238231682
2008-34,12,2713,0.0044231478068558795
2008-35,10,2972,0.0033647375504710633
2008-36,19,2976,0.006384408602150538
2008-37,30,2870,0.010452961672473868
2008-38,5,1177,0.004248088360237893
2008-40,1,549,0.0018214936247723133
2009-22,0,187,0.0
2009-23,0,1267,0.0
2009-24,0,1202,0.0
2009-25,0,1045,0.0
2009-26,0,2961,0.0
2009-27,0,903,0.0
2009-28,0,1708,0.0
2009-29,0,3259,0.0
2009-30,2,1213,0.0016488046166529267
2009-31,3,2640,0.0011363636363636363
2009-32,0,878,0.0
2009-33,2,600,0.0033333333333333335
2009-35,7,865,0.008092485549132947
2009-36,1,127,0.007874015748031496
2009-38,3,1303,0.0023023791250959325
2009-39,1,702,0.0014245014245014246
2009-40,0,212,0.0
2010-22,0,76,0.0
2010-23,0,122,0.0
2010-24,0,496,0.0
2010-25,0,1050,0.0
2010-26,1,1874,0.0005336179295624333
2010-28,2,6000,0.0003333333333333333
2010-29,4,2477,0.0016148566814695195
2010-30,9,2367,0.0038022813688212928
2010-31,8,926,0.008639308855291577
2010-32,3,1325,0.0022641509433962265
2010-33,17,863,0.019698725376593278
2010-34,8,1160,0.006896551724137931
2010-35,15,882,0.017006802721088437
2010-36,1,533,0.001876172607879925
2010-37,8,841,0.009512485136741973
2010-38,0,501,0.0
2010-39,0,134,0.0
2011-23,0,429,0.0
2011-24,0,828,0.0
2011-25,0,843,0.0
2011-26,0,1942,0.0
2011-28,0,4573,0.0
2011-30,11,3845,0.002860858257477243
2011-31,5,1059,0.004721435316336166
2011-32,11,819,0.013431013431013432
2011-33,4,586,0.006825938566552901
2011-34,4,485,0.008247422680412371
2011-35,7,865,0.008092485549132947
2011-37,8,1504,0.005319148936170213
2011-38,6,724,0.008287292817679558
2011-39,0,181,0.0
2012-23,0,232,0.0
2012-24,0,359,0.0
2012-25,0,601,0.0
2012-26,3,1478,0.0020297699594046007
2012-28,42,8827,0.004758128469468675
2012-29,74,6000,0.012333333333333333
2012-30,112,4948,0.02263540824575586
2012-31,99,4508,0.021960958296362024
2012-32,33,1871,0.017637626937466594
2012-33,34,1914,0.017763845350052248
2012-34,12,1012,0.011857707509881422
2012-35,4,887,0.004509582863585118
2012-37,14,1980,0.007070707070707071
2012-38,1,285,0.0035087719298245615
2012-39,1,564,0.0017730496453900709
2013-23,0,357,0.0
2013-24,0,1658,0.0
2013-25,0,1318,0.0
2013-26,1,1354,0.0007385524372230429
2013-28,7,6614,0.0010583610523132749
2013-29,15,4097,0.00366121552355382
2013-30,2,1951,0.0010251153254741158
2013-31,22,2856,0.007703081232492998
2013-32,34,3136,0.010841836734693877
2013-33,20,1940,0.010309278350515464
2013-34,30,2046,0.01466275659824047
2013-35,38,2627,0.01446516939474686
2013-36,32,2472,0.012944983818770227
2013-37,23,2208,0.010416666666666666
2013-38,11,1019,0.010794896957801767
2013-39,4,501,0.007984031936127744
2014-23,0,1692,0.0
2014-24,0,1889,0.0
2014-25,2,2420,0.0008264462809917355
2014-26,1,1376,0.0007267441860465116
2014-27,0,1695,0.0
2014-28,2,2683,0.0007454342154304882
2014-29,1,1136,0.0008802816901408451
2014-30,1,528,0.001893939393939394
