Year-Week,Positive_Pools,Total_Mosquitoes,MIR,mos_collect
2007-22,0,39,0.0,1201
2007-23,0,112,0.0,2280
2007-26,0,294,0.0,1882
2007-27,0,239,0.0,1148
2007-28,0,1088,0.0,2329
2007-29,1,1533,0.6523157208088715,2013
2007-30,5,4305,1.1614401858304295,4305
2007-31,18,9008,1.9982238010657196,9008
2007-32,17,6110,2.782324058919804,6110
2007-33,55,10425,5.275779376498801,10425
2007-34,88,7035,12.508884150675197,7035
2007-35,8,3926,2.0376974019358127,3926
2007-36,19,3976,4.778672032193159,3976
2007-37,5,1147,4.3591979075850045,2336
2007-38,1,2120,0.4716981132075472,2281
2007-39,0,911,0.0,2317
2007-40,2,1310,1.5267175572519085,2359
2007-41,0,333,0.0,1745
2008-24,0,178,0.0,572
2008-25,0,218,0.0,1857
2008-26,0,403,0.0,1601
2008-27,0,831,0.0,1475
2008-28,1,659,1.5174506828528074,1642
2008-29,0,271,0.0,1665
2008-30,0,2603,0.0,2802
2008-31,2,1051,1.9029495718363465,2699
2008-32,3,1897,1.58144438587243,2402
2008-33,13,2443,5.321326238231682,2521
2008-34,12,2713,4.423147806855879,2876
2008-35,10,2972,3.3647375504710637,2977
2008-36,19,2976,6.384408602150538,2995
2008-37,30,2870,10.452961672473869,2908
2008-38,5,1177,4.248088360237893,2527
2008-40,1,549,1.8214936247723128,2615
2009-22,0,187,0.0,233
2009-23,0,1267,0.0,2966
2009-24,0,1202,0.0,2283
2009-25,0,1045,0.0,1098
2009-26,0,2961,0.0,2998
2009-27,0,903,0.0,1908
2009-28,0,1708,0.0,2387
2009-29,0,3259,0.0,3259
2009-30,2,1213,1.6488046166529269,2527
2009-31,3,2640,1.1363636363636362,2724
2009-32,0,878,0.0,2591
2009-33,2,600,3.333333333333333,968
2009-35,7,865,8.092485549132947,929
2009-36,1,127,7.874015748031496,2020
2009-38,3,1303,2.3023791250959325,2515
2009-39,1,702,1.4245014245014245,712
2009-40,0,212,0.0,1631
2010-22,0,76,0.0,1993
2010-23,0,122,0.0,417
2010-24,0,496,0.0,1827
2010-25,0,1050,0.0,2008
2010-26,1,1874,0.5336179295624334,2182
2010-28,2,6000,0.3333333333333333,6000
2010-29,4,2477,1.6148566814695196,2621
2010-30,9,2367,3.802281368821293,2429
2010-31,8,926,8.639308855291578,1868
2010-32,3,1325,2.2641509433962264,2818
2010-33,17,863,19.69872537659328,1792
2010-34,8,1160,6.896551724137931,2497
2010-35,15,882,17.006802721088437,1973
2010-36,1,533,1.876172607879925,2471
2010-37,8,841,9.512485136741972,2814
2010-38,0,501,0.0,545
2010-39,0,134,0.0,1454
2011-23,0,429,0.0,1310
2011-24,0,828,0.0,1166
2011-25,0,843,0.0,2171
2011-26,0,1942,0.0,2997
2011-28,0,4573,0.0,4573
2011-30,11,3845,2.860858257477243,3845
2011-31,5,1059,4.721435316336166,2273
2011-32,11,819,13.431013431013431,1758
2011-33,4,586,6.825938566552901,1993
2011-34,4,485,8.247422680412372,2921
2011-35,7,865,8.092485549132947,2177
2011-37,8,1504,5.319148936170213,1626
2011-38,6,724,8.287292817679557,1628
2011-39,0,181,0.0,742
2012-23,0,232,0.0,2602
2012-24,0,359,0.0,2456
2012-25,0,601,0.0,1602
2012-26,3,1478,2.0297699594046006,2325
2012-28,42,8827,4.758128469468676,8827
2012-29,74,6000,12.333333333333334,6000
2012-30,112,4948,22.63540824575586,4948
2012-31,99,4508,21.960958296362023,4508
2012-32,33,1871,17.637626937466592,2215
2012-33,34,1914,17.763845350052247,2259
2012-34,12,1012,11.857707509881422,2460
2012-35,4,887,4.509582863585118,1498
2012-37,14,1980,7.070707070707071,2904
2012-38,1,285,3.5087719298245617,2825
2012-39,1,564,1.7730496453900708,2934
2013-23,0,357,0.0,2222
2013-24,0,1658,0.0,2436
2013-25,0,1318,0.0,2619
2013-26,1,1354,0.7385524372230429,2308
2013-28,7,6614,1.058361052313275,6614
2013-29,15,4097,3.66121552355382,4097
2013-30,2,1951,1.025115325474116,2046
2013-31,22,2856,7.703081232492997,2905
2013-32,34,3136,10.841836734693878,3136
2013-33,20,1940,10.309278350515465,2239
2013-34,30,2046,14.66275659824047,2735
2013-35,38,2627,14.46516939474686,2795
2013-36,32,2472,12.944983818770227,2946
2013-37,23,2208,10.416666666666666,2825
2013-38,11,1019,10.794896957801766,2482
2013-39,4,501,7.984031936127744,963
2014-23,0,1692,0.0,2116
2014-24,0,1889,0.0,2276
2014-25,2,2420,0.8264462809917356,2796
2014-26,1,1376,0.7267441860465116,2848
2014-27,0,1695,0.0,2330
2014-28,2,2683,0.7454342154304883,2711
2014-29,1,1136,0.8802816901408451,1380
2014-30,1,528,1.893939393939394,2426
2014-31,16,3667,4.36323970548132,3667
2014-32,15,3907,3.839262861530586,3907
2014-33,32,3960,8.080808080808081,3960
2014-34,36,4400,8.181818181818182,4400
2014-35,41,3201,12.808497344579818,3201
2014-36,36,2124,16.949152542372882,2235
2014-37,8,915,8.743169398907105,2650
2014-38,12,708,16.949152542372882,2925
2014-39,7,600,11.666666666666668,1132
2014-40,0,322,0.0,2693
2015-23,0,271,0.0,2670
2015-24,0,663,0.0,1623
2015-25,0,1017,0.0,2236
2015-26,0,574,0.0,2896
2015-27,1,917,1.0905125408942202,1031
2015-28,0,1339,0.0,1778
2015-29,2,1374,1.455604075691412,2859
2015-30,7,1400,5.0,2196
2015-31,8,1950,4.102564102564102,2498
2015-32,13,1461,8.89801505817933,1790
2015-33,16,1386,11.544011544011545,2048
2015-34,20,1027,19.474196689386563,1501
2015-35,20,1326,15.082956259426847,2504
2015-36,12,814,14.742014742014742,1849
2015-37,6,363,16.528925619834713,1536
2015-38,4,576,6.944444444444444,2424
2015-39,1,263,3.802281368821293,1252
2015-40,3,169,17.75147928994083,843
2016-23,0,138,0.0,416
2016-24,0,1121,0.0,1567
2016-25,0,2268,0.0,2991
2016-26,1,1013,0.9871668311944718,2857
2016-27,9,1487,6.05245460659045,2002
2016-28,5,868,5.760368663594471,2793
2016-29,15,1466,10.231923601637108,1507
2016-30,86,5629,15.278024515899803,5629
2016-31,82,3492,23.482245131729663,3492
2016-32,83,3670,22.615803814713896,3670
2016-33,70,3655,19.15184678522572,3655
2016-34,25,1308,19.1131498470948,2456
2016-35,29,2120,13.679245283018869,2597
2016-36,37,3504,10.559360730593609,3504
2016-37,11,1634,6.731946144430845,2603
2016-38,3,2022,1.483679525222552,2948
2016-39,3,800,3.75,1591
2017-24,0,549,0.0,1335
2017-25,2,776,2.577319587628866,2953
2017-26,1,402,2.487562189054726,2142
2017-28,13,1848,7.034632034632035,2959
2017-29,18,1336,13.47305389221557,2989
2017-30,12,660,18.18181818181818,879
2017-31,36,1582,22.75600505689001,2247
2017-32,20,1017,19.66568338249754,2993
2017-33,31,1552,19.97422680412371,1893
2017-34,23,1090,21.100917431192663,2185
2017-35,7,547,12.79707495429616,1034
2017-36,4,515,7.766990291262136,1095
2017-37,1,324,3.08641975308642,610
2017-38,2,254,7.874015748031496,2663
2017-39,2,732,2.73224043715847,2619
2018-23,2,1120,1.7857142857142856,1266
2018-24,1,1344,0.744047619047619,2575
2018-25,3,1359,2.207505518763797,1736
2018-26,8,2137,3.743565746373421,2459
2018-27,3,750,4.0,1871
2018-28,13,1333,9.752438109527382,2489
2018-29,17,1244,13.665594855305466,1386
2018-30,31,1263,24.54473475851148,1965
2018-31,27,1401,19.271948608137045,2723
2018-32,31,1548,20.02583979328165,2032
2018-33,42,1516,27.704485488126647,2329
2018-34,18,458,39.30131004366813,2311
2018-35,7,465,15.053763440860216,1795
2018-36,3,535,5.607476635514018,1742
2018-37,1,331,3.0211480362537766,2755
2018-38,4,736,5.434782608695652,1828
2018-39,0,377,0.0,1147
2019-24,0,3798,0.0,3798
2019-25,0,1541,0.0,1784
2019-26,0,1510,0.0,2639
2019-27,1,612,1.6339869281045751,1606
2019-28,0,1370,0.0,2654
2019-29,1,776,1.288659793814433,1589
2019-30,0,869,0.0,953
2019-31,5,965,5.181347150259067,2532
2019-32,7,1215,5.761316872427984,1945
2019-33,20,2031,9.847365829640571,2080
2019-34,31,2279,13.602457218078104,2943
2019-35,32,1573,20.3432930705658,1966
2019-36,15,854,17.564402810304447,1927
2019-37,28,2541,11.019283746556477,2797
2019-38,5,1326,3.770739064856712,2878
2019-39,5,1166,4.288164665523157,1877
2020-24,0,831,0.0,1926
2020-25,0,863,0.0,2242
2020-26,0,682,0.0,2422
2020-27,0,891,0.0,2789
2020-28,0,250,0.0,2804
2020-29,3,3008,0.9973404255319148,3008
2020-30,2,1275,1.568627450980392,2486
2020-31,13,2460,5.284552845528455,2880
2020-32,6,1069,5.612722170252572,2750
2020-33,18,2258,7.971656333038087,2857
2020-34,21,1968,10.670731707317074,2603
2020-35,21,2559,8.206330597889801,2847
2020-36,13,1359,9.565857247976457,2113
2020-37,0,185,0.0,2527
2020-38,5,467,10.70663811563169,1649
2020-39,0,361,0.0,2757
2020-40,0,139,0.0,2517
2021-22,0,39,0.0,2885
2021-23,0,1701,0.0,2491
2021-24,0,1520,0.0,2409
2021-25,0,224,0.0,1897
2021-26,0,442,0.0,1618
2021-27,4,2431,1.6454134101192923,2953
2021-28,4,3478,1.1500862564692351,3478
2021-29,8,2860,2.797202797202797,2913
2021-30,11,1952,5.635245901639345,2938
2021-31,22,2712,8.112094395280236,2746
2021-32,43,3021,14.233697451175107,3021
2021-33,42,2653,15.8311345646438,2870
2021-34,24,1216,19.73684210526316,2797
2021-35,8,790,10.126582278481012,1853
2021-36,1,181,5.524861878453039,1876
2021-37,12,1561,7.687379884689302,2193
2021-38,4,1087,3.679852805887765,2135
2021-39,3,755,3.9735099337748334,1032
2022-23,0,393,0.0,2208
2022-24,1,2274,0.4397537379067722,2531
2022-25,0,367,0.0,2197
2022-26,1,376,2.6595744680851063,984
2022-27,1,105,9.523809523809526,2736
2022-28,2,463,4.319654427645789,1188
2022-29,2,544,3.676470588235294,2584
2022-30,1,402,2.487562189054726,2557
2022-31,14,1384,10.115606936416183,2621
2022-32,17,755,22.516556291390728,2622
2022-33,9,820,10.97560975609756,1821
2022-34,8,741,10.79622132253711,917
2022-35,14,951,14.721345951629864,2447
2022-36,9,986,9.127789046653144,2705
2022-37,1,361,2.770083102493075,2664
2022-38,0,271,0.0,768
2022-39,0,39,0.0,587
2022-40,0,127,0.0,1206
2023-23,1,300,3.333333333333333,562
2023-24,2,1040,1.9230769230769231,1483
2023-25,0,533,0.0,2539
2023-26,0,958,0.0,1603
2023-27,5,1159,4.3140638481449525,2014
2023-28,8,1124,7.117437722419928,2492
2023-29,14,2262,6.18921308576481,2855
2023-30,27,2882,9.368494101318529,2984
2023-31,24,1451,16.540317022742936,2641
2023-32,58,3377,17.175007403020434,3377
2023-33,21,848,24.764150943396228,2585
2023-34,31,1759,17.62364980102331,2995
2023-35,22,1246,17.656500802568218,2582
2023-36,21,1118,18.783542039355996,2837
2023-37,9,903,9.966777408637872,2656
