SEASON YEAR,BLOCK,WEEK,Number of Negative Pools,Number of Positive Pools
2018,100XX W OHARE,23,1,0
2018,100XX W OHARE,24,2,0
2018,100XX W OHARE,25,2,0
2018,100XX W OHARE,26,5,1
2018,100XX W OHARE,27,1,0
2018,100XX W OHARE,28,1,0
2018,100XX W OHARE,29,1,0
2018,100XX W OHARE,30,1,0
2018,100XX W OHARE,32,3,0
2018,100XX W OHARE,33,1,0
2018,100XX W OHARE,34,0,1
2018,100XX W OHARE,35,4,0
2018,100XX W OHARE AIRPORT,23,8,1
2018,100XX W OHARE AIRPORT,24,17,0
2018,100XX W OHARE AIRPORT,25,14,3
2018,100XX W OHARE AIRPORT,26,23,5
2018,100XX W OHARE AIRPORT,27,17,1
2018,100XX W OHARE AIRPORT,28,10,2
2018,100XX W OHARE AIRPORT,29,10,7
2018,100XX W OHARE AIRPORT,30,6,11
2018,100XX W OHARE AIRPORT,31,8,11
2018,100XX W OHARE AIRPORT,32,11,10
2018,100XX W OHARE AIRPORT,33,8,8
2018,100XX W OHARE AIRPORT,34,7,9
2018,100XX W OHARE AIRPORT,35,9,1
2018,100XX W OHARE AIRPORT,36,14,0
2018,100XX W OHARE AIRPORT,37,5,0
2018,100XX W OHARE AIRPORT,38,15,0
2018,100XX W OHARE AIRPORT,39,6,0
2018,101XX S STONY ISLAND AVE,23,2,0
2018,101XX S STONY ISLAND AVE,24,3,0
2018,101XX S STONY ISLAND AVE,25,4,0
2018,101XX S STONY ISLAND AVE,26,4,0
2018,101XX S STONY ISLAND AVE,27,3,0
2018,101XX S STONY ISLAND AVE,28,4,0
2018,101XX S STONY ISLAND AVE,29,3,0
2018,101XX S STONY ISLAND AVE,30,3,3
2018,101XX S STONY ISLAND AVE,31,8,2
2018,101XX S STONY ISLAND AVE,32,2,0
2018,101XX S STONY ISLAND AVE,33,1,0
2018,101XX S STONY ISLAND AVE,35,1,0
2018,101XX S STONY ISLAND AVE,36,1,0
2018,101XX S STONY ISLAND AVE,37,1,0
2018,101XX S STONY ISLAND AVE,38,1,0
2018,104XX S VINCENNES AVE,23,1,0
2018,104XX S VINCENNES AVE,24,1,0
2018,104XX S VINCENNES AVE,25,1,0
2018,104XX S VINCENNES AVE,28,1,0
2018,104XX S VINCENNES AVE,29,1,0
2018,104XX S VINCENNES AVE,31,1,0
2018,104XX S VINCENNES AVE,32,1,1
2018,104XX S VINCENNES AVE,33,1,0
2018,104XX S VINCENNES AVE,35,1,0
2018,104XX S VINCENNES AVE,37,1,0
2018,104XX S VINCENNES AVE,38,1,0
2018,109XX S COTTAGE GROVE AVE,24,1,0
2018,109XX S COTTAGE GROVE AVE,26,1,0
2018,109XX S COTTAGE GROVE AVE,29,1,0
2018,109XX S COTTAGE GROVE AVE,31,1,0
2018,109XX S COTTAGE GROVE AVE,32,1,0
2018,109XX S COTTAGE GROVE AVE,33,1,0
2018,109XX S COTTAGE GROVE AVE,35,1,0
2018,109XX S COTTAGE GROVE AVE,37,1,0
2018,109XX S COTTAGE GROVE AVE,38,1,0
2018,109XX S COTTAGE GROVE AVE,39,1,0
2018,10XX E 67TH ST,23,1,0
2018,10XX E 67TH ST,24,1,0
2018,10XX E 67TH ST,25,1,0
2018,10XX E 67TH ST,27,1,0
2018,10XX E 67TH ST,28,1,0
2018,10XX E 67TH ST,29,1,0
2018,10XX E 67TH ST,30,1,0
2018,10XX E 67TH ST,32,2,0
2018,10XX E 67TH ST,33,1,0
2018,10XX E 67TH ST,36,1,0
2018,10XX E 67TH ST,37,1,0
2018,119XX S ASHLAND AVE,23,2,0
2018,119XX S ASHLAND AVE,24,2,0
2018,119XX S ASHLAND AVE,25,1,0
2018,119XX S ASHLAND AVE,26,1,0
2018,119XX S ASHLAND AVE,27,1,0
2018,119XX S ASHLAND AVE,28,2,0
2018,119XX S ASHLAND AVE,29,1,1
2018,119XX S ASHLAND AVE,30,2,0
2018,119XX S ASHLAND AVE,31,1,0
2018,119XX S ASHLAND AVE,32,3,0
2018,119XX S ASHLAND AVE,33,3,0
2018,119XX S ASHLAND AVE,34,2,0
2018,119XX S ASHLAND AVE,35,2,1
2018,119XX S ASHLAND AVE,36,1,0
2018,119XX S ASHLAND AVE,37,2,0
2018,119XX S ASHLAND AVE,38,1,0
2018,119XX S ASHLAND AVE,39,1,0
2018,11XX S CALIFORNIA AVE,23,1,0
2018,11XX S CALIFORNIA AVE,28,1,0
2018,11XX S CALIFORNIA AVE,29,1,0
2018,11XX S CALIFORNIA AVE,31,1,0
2018,11XX S CALIFORNIA AVE,33,2,0
2018,11XX S CALIFORNIA AVE,35,1,0
2018,11XX S CALIFORNIA AVE,38,2,0
2018,11XX S CALIFORNIA AVE,39,1,0
2018,11XX W CHICAGO AVE,23,2,0
2018,11XX W CHICAGO AVE,24,1,0
2018,11XX W CHICAGO AVE,26,1,0
2018,11XX W CHICAGO AVE,30,1,0
2018,11XX W CHICAGO AVE,31,1,0
2018,11XX W CHICAGO AVE,32,1,0
2018,11XX W CHICAGO AVE,33,1,0
2018,11XX W CHICAGO AVE,34,2,0
2018,11XX W CHICAGO AVE,37,1,0
2018,11XX W ROOSEVELT RD,23,1,0
2018,11XX W ROOSEVELT RD,24,2,0
2018,11XX W ROOSEVELT RD,25,2,0
2018,11XX W ROOSEVELT RD,26,1,0
2018,11XX W ROOSEVELT RD,27,1,0
2018,11XX W ROOSEVELT RD,28,2,0
2018,11XX W ROOSEVELT RD,29,1,0
2018,11XX W ROOSEVELT RD,30,1,0
2018,11XX W ROOSEVELT RD,31,1,0
2018,11XX W ROOSEVELT RD,32,1,0
2018,11XX W ROOSEVELT RD,34,2,0
2018,11XX W ROOSEVELT RD,35,2,0
2018,11XX W ROOSEVELT RD,36,2,0
2018,11XX W ROOSEVELT RD,37,1,0
2018,11XX W ROOSEVELT RD,38,1,0
2018,11XX W ROOSEVELT RD,39,2,0
2018,127XX S DOTY AVE,23,6,0
2018,127XX S DOTY AVE,24,1,0
2018,127XX S DOTY AVE,25,2,0
2018,127XX S DOTY AVE,26,2,0
2018,127XX S DOTY AVE,27,3,0
2018,127XX S DOTY AVE,28,1,1
2018,127XX S DOTY AVE,29,1,0
2018,127XX S DOTY AVE,30,1,0
2018,127XX S DOTY AVE,31,1,0
2018,127XX S DOTY AVE,32,1,0
2018,127XX S DOTY AVE,33,1,0
2018,127XX S DOTY AVE,35,2,0
2018,127XX S DOTY AVE,36,2,0
2018,127XX S DOTY AVE,38,2,0
2018,127XX S DOTY AVE,39,1,0
2018,12XX W GREENLEAF AVE,23,1,0
2018,12XX W GREENLEAF AVE,24,1,0
2018,12XX W GREENLEAF AVE,25,1,0
2018,12XX W GREENLEAF AVE,26,1,0
2018,12XX W GREENLEAF AVE,31,1,0
2018,12XX W GREENLEAF AVE,34,2,0
2018,12XX W GREENLEAF AVE,35,2,0
2018,131XX S BRANDON AVE,23,2,0
2018,131XX S BRANDON AVE,24,1,0
2018,131XX S BRANDON AVE,25,1,0
2018,131XX S BRANDON AVE,26,1,0
2018,131XX S BRANDON AVE,27,1,0
2018,131XX S BRANDON AVE,28,1,0
2018,131XX S BRANDON AVE,29,1,0
2018,131XX S BRANDON AVE,30,0,1
2018,131XX S BRANDON AVE,31,2,0
2018,131XX S BRANDON AVE,32,2,0
2018,131XX S BRANDON AVE,33,3,0
2018,131XX S BRANDON AVE,34,1,0
2018,131XX S BRANDON AVE,36,0,1
2018,131XX S BRANDON AVE,38,1,0
2018,131XX S BRANDON AVE,39,2,0
2018,13XX N LARAMIE AVE,23,1,0
2018,13XX N LARAMIE AVE,26,1,0
2018,13XX N LARAMIE AVE,28,1,0
2018,13XX N LARAMIE AVE,29,1,0
2018,13XX N LARAMIE AVE,30,2,0
2018,13XX N LARAMIE AVE,33,1,1
2018,13XX N LARAMIE AVE,34,3,0
2018,13XX N LARAMIE AVE,35,2,0
2018,13XX N LARAMIE AVE,36,2,0
2018,13XX N LARAMIE AVE,38,1,0
2018,14XX N HUMBOLDT DR,23,2,0
2018,14XX N HUMBOLDT DR,24,1,0
2018,14XX N HUMBOLDT DR,25,1,0
2018,14XX N HUMBOLDT DR,26,1,0
2018,14XX N HUMBOLDT DR,27,2,0
2018,14XX N HUMBOLDT DR,28,2,1
2018,14XX N HUMBOLDT DR,29,3,0
2018,14XX N HUMBOLDT DR,30,2,0
2018,14XX N HUMBOLDT DR,31,3,0
2018,14XX N HUMBOLDT DR,32,2,0
2018,14XX N HUMBOLDT DR,33,0,2
2018,14XX N HUMBOLDT DR,34,1,1
2018,14XX N HUMBOLDT DR,35,1,0
2018,14XX N HUMBOLDT DR,38,1,0
2018,17XX N PULASKI RD,23,1,0
2018,17XX N PULASKI RD,24,1,0
2018,17XX N PULASKI RD,27,1,0
2018,17XX N PULASKI RD,28,1,0
2018,17XX N PULASKI RD,29,1,0
2018,17XX N PULASKI RD,30,1,0
2018,17XX N PULASKI RD,31,1,0
