SEASON YEAR,WEEK,TEST ID,BLOCK,TRAP,TRAP_TYPE,TEST DATE,NUMBER OF MOSQUITOES,RESULT,SPECIES,LATITUDE,LONGITUDE,LOCATION
2021,22,51815,100XX W OHARE,T909,GRAVID,6/3/21 00:06,19,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2021,22,51816,100XX W OHARE,T909,GRAVID,6/3/21 00:06,5,negative,CULEX RESTUANS,41.978611,-87.904724,
2021,23,51918,100XX W OHARE,T909,GRAVID,6/10/21 00:06,50,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2021,33,52988,100XX W OHARE,T909,GRAVID,8/19/21 00:08,50,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2022,23,53486,100XX W OHARE,T904,GRAVID,6/10/22 00:06,23,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2021,33,52989,100XX W OHARE,T909,GRAVID,8/19/21 00:08,50,positive,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2018,23,46022,100XX W OHARE,T904,GRAVID,6/8/18 00:06,6,negative,CULEX RESTUANS,41.978611,-87.904724,
2019,23,47740,100XX W OHARE,T903,GRAVID,6/12/19 00:06,43,negative,CULEX RESTUANS,41.978611,-87.904724,
2019,23,47739,100XX W OHARE,T903,GRAVID,6/12/19 00:06,12,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2020,24,50134,100XX W OHARE,T909,GRAVID,6/11/20 00:06,21,negative,CULEX RESTUANS,41.978611,-87.904724,
2020,24,50133,100XX W OHARE,T909,GRAVID,6/11/20 00:06,15,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2020,24,50132,100XX W OHARE,T909,GRAVID,6/11/20 00:06,50,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2020,35,51469,100XX W OHARE,T909,GRAVID,8/27/20 00:08,5,positive,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2019,24,47876,100XX W OHARE,T903,GRAVID,6/13/19 00:06,23,negative,CULEX RESTUANS,41.978611,-87.904724,
2019,24,47875,100XX W OHARE,T903,GRAVID,6/13/19 00:06,24,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2020,35,51467,100XX W OHARE,T904,GRAVID,8/27/20 00:08,27,positive,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2020,25,50244,100XX W OHARE,T909,GRAVID,6/18/20 00:06,16,negative,CULEX RESTUANS,41.978611,-87.904724,
2020,25,50243,100XX W OHARE,T909,GRAVID,6/18/20 00:06,41,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2019,25,48045,100XX W OHARE,T903,GRAVID,6/20/19 00:06,2,negative,CULEX RESTUANS,41.978611,-87.904724,
2019,25,48044,100XX W OHARE,T903,GRAVID,6/20/19 00:06,2,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2021,23,51919,100XX W OHARE,T909,GRAVID,6/10/21 00:06,50,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2021,23,51922,100XX W OHARE,T909,GRAVID,6/10/21 00:06,18,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2021,23,51917,100XX W OHARE,T909,GRAVID,6/10/21 00:06,50,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2021,23,51920,100XX W OHARE,T909,GRAVID,6/10/21 00:06,50,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2021,23,51921,100XX W OHARE,T909,GRAVID,6/10/21 00:06,50,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2020,26,50360,100XX W OHARE,T909,GRAVID,6/25/20 00:06,4,negative,CULEX RESTUANS,41.978611,-87.904724,
2020,26,50359,100XX W OHARE,T909,GRAVID,6/25/20 00:06,6,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2020,36,51566,100XX W OHARE,T904,GRAVID,9/3/20 00:09,14,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2020,36,51568,100XX W OHARE,T909,GRAVID,9/3/20 00:09,16,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2020,27,50466,100XX W OHARE,T909,GRAVID,7/2/20 00:07,48,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2019,28,48435,100XX W OHARE,T903,GRAVID,7/11/19 00:07,3,negative,CULEX RESTUANS,41.978611,-87.904724,
2020,27,50467,100XX W OHARE,T909,GRAVID,7/2/20 00:07,10,negative,CULEX RESTUANS,41.978611,-87.904724,
2021,33,52993,100XX W OHARE,T909,GRAVID,8/19/21 00:08,26,positive,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2021,33,52990,100XX W OHARE,T909,GRAVID,8/19/21 00:08,50,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2021,33,52987,100XX W OHARE,T909,GRAVID,8/19/21 00:08,50,positive,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2019,29,48583,100XX W OHARE,T903,GRAVID,7/18/19 00:07,3,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2020,37,51624,100XX W OHARE,T909,GRAVID,9/10/20 00:09,2,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2021,33,52984,100XX W OHARE,T904,GRAVID,8/19/21 00:08,26,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2021,33,52991,100XX W OHARE,T909,GRAVID,8/19/21 00:08,50,positive,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2019,30,48709,100XX W OHARE,T903,GRAVID,7/25/19 00:07,5,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2021,33,52992,100XX W OHARE,T909,GRAVID,8/19/21 00:08,50,positive,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2019,30,48710,100XX W OHARE,T903,GRAVID,7/25/19 00:07,2,negative,CULEX RESTUANS,41.978611,-87.904724,
2019,31,48839,100XX W OHARE,T903,GRAVID,8/1/19 00:08,43,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2019,31,48840,100XX W OHARE,T903,GRAVID,8/1/19 00:08,19,negative,CULEX RESTUANS,41.978611,-87.904724,
2019,31,48838,100XX W OHARE,T903,GRAVID,8/1/19 00:08,50,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2020,38,51695,100XX W OHARE,T909,GRAVID,9/17/20 00:09,1,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2019,32,48958,100XX W OHARE,T903,GRAVID,8/8/19 00:08,5,negative,CULEX RESTUANS,41.978611,-87.904724,
2019,32,48957,100XX W OHARE,T903,GRAVID,8/8/19 00:08,21,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2021,24,52031,100XX W OHARE,T909,GRAVID,6/17/21 00:06,39,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2019,33,49091,100XX W OHARE,T903,GRAVID,8/15/19 00:08,3,positive,CULEX RESTUANS,41.978611,-87.904724,
2019,33,49090,100XX W OHARE,T903,GRAVID,8/15/19 00:08,10,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2020,30,50827,100XX W OHARE,T904,GRAVID,7/23/20 00:07,6,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2019,34,49252,100XX W OHARE,T903,GRAVID,8/22/19 00:08,10,negative,CULEX RESTUANS,41.978611,-87.904724,
2019,34,49251,100XX W OHARE,T903,GRAVID,8/22/19 00:08,34,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2019,35,49396,100XX W OHARE,T903,GRAVID,8/29/19 00:08,3,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2021,25,52085,100XX W OHARE,T909,GRAVID,6/24/21 00:06,25,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2019,36,49534,100XX W OHARE,T903,GRAVID,9/5/19 00:09,2,negative,CULEX PIPIENS,41.978611,-87.904724,
2019,36,49535,100XX W OHARE,T903,GRAVID,9/5/19 00:09,7,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2020,31,50961,100XX W OHARE,T904,GRAVID,7/30/20 00:07,1,negative,CULEX TARSALIS,41.978611,-87.904724,
2020,31,50963,100XX W OHARE,T909,GRAVID,7/30/20 00:07,2,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2020,31,50960,100XX W OHARE,T904,GRAVID,7/30/20 00:07,5,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2019,37,49644,100XX W OHARE,T903,GRAVID,9/12/19 00:09,1,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2021,34,53076,100XX W OHARE,T909,GRAVID,8/26/21 00:08,50,positive,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2021,34,53077,100XX W OHARE,T909,GRAVID,8/26/21 00:08,50,positive,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2019,38,49787,100XX W OHARE,T903,GRAVID,9/19/19 00:09,6,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2020,32,51074,100XX W OHARE,T904,GRAVID,8/6/20 00:08,9,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2020,32,51077,100XX W OHARE,T909,GRAVID,8/6/20 00:08,1,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2020,32,51075,100XX W OHARE,T904,GRAVID,8/6/20 00:08,2,negative,CULEX RESTUANS,41.978611,-87.904724,
2021,26,52137,100XX W OHARE,T909,GRAVID,7/1/21 00:07,5,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2021,34,53074,100XX W OHARE,T904,GRAVID,8/26/21 00:08,36,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2019,39,49914,100XX W OHARE,T903,GRAVID,9/26/19 00:09,8,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2020,33,51204,100XX W OHARE,T904,GRAVID,8/13/20 00:08,3,negative,CULEX RESTUANS,41.978611,-87.904724,
2020,33,51206,100XX W OHARE,T909,GRAVID,8/13/20 00:08,4,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2020,33,51203,100XX W OHARE,T904,GRAVID,8/13/20 00:08,12,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2020,33,51207,100XX W OHARE,T909,GRAVID,8/13/20 00:08,2,negative,CULEX RESTUANS,41.978611,-87.904724,
2022,24,53574,100XX W OHARE,T904,GRAVID,6/17/22 00:06,3,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2022,24,53576,100XX W OHARE,T909,GRAVID,6/17/22 00:06,12,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2021,27,52228,100XX W OHARE,T904,GRAVID,7/8/21 00:07,50,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2021,27,52229,100XX W OHARE,T904,GRAVID,7/8/21 00:07,50,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2021,27,52234,100XX W OHARE,T909,GRAVID,7/8/21 00:07,14,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2021,27,52230,100XX W OHARE,T904,GRAVID,7/8/21 00:07,24,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2021,27,52232,100XX W OHARE,T909,GRAVID,7/8/21 00:07,50,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2020,34,51351,100XX W OHARE,T909,GRAVID,8/20/20 00:08,10,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2020,34,51348,100XX W OHARE,T904,GRAVID,8/20/20 00:08,22,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2021,27,52233,100XX W OHARE,T909,GRAVID,7/8/21 00:07,50,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2021,35,53166,100XX W OHARE,T909,GRAVID,9/2/21 00:09,8,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2021,35,53165,100XX W OHARE,T909,GRAVID,9/2/21 00:09,50,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2021,35,53164,100XX W OHARE,T909,GRAVID,9/2/21 00:09,50,positive,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2021,28,52373,100XX W OHARE,T909,GRAVID,7/15/21 00:07,50,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2021,28,52372,100XX W OHARE,T909,GRAVID,7/15/21 00:07,50,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
2021,28,52378,100XX W OHARE,T909,GRAVID,7/15/21 00:07,12,negative,CULEX PIPIENS/RESTUANS,41.978611,-87.904724,
