STATION,NAME,DATE,AWND,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/1/17,4.92,0,0,0,41,53,28
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/2/17,4.25,0,0,0,42,54,33
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/3/17,6.26,0,0,0,43,58,29
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/4/17,21.92,0.16,0,0,55,65,44
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/5/17,21.92,0,0,0,41,44,27
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/6/17,13.65,0,0,0,31,35,26
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/7/17,12.3,0,0,0,25,29,19
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/8/17,12.3,0.01,0,0,25,37,18
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/9/17,13.87,0.03,0.6,1.2,30,32,20
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/10/17,10.07,0,0,0,26,35,20
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/11/17,9.84,0.08,1.4,0,31,39,23
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/12/17,13.42,0,0,1.2,24,31,17
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/13/17,16.11,0,0,1.2,26,38,22
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/14/17,8.05,0,0,0,24,27,16
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/15/17,11.41,0,0,0,26,37,21
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/16/17,7.83,0,0,0,38,46,27
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/17/17,4.7,0,0,0,35,42,29
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/18/17,11.41,0.01,0,0,42,46,39
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/19/17,12.08,0,0,0,43,50,35
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/20/17,8.5,0,0,0,34,37,27
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/21/17,8.95,0,0,0,35,40,32
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/22/17,6.93,0,0,0,38,39,33
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/23/17,9.4,0,0,0,31,33,19
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/24/17,8.95,0.18,1.8,0,21,22,18
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/25/17,12.97,0.01,0.1,2,16,21,2
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/26/17,9.62,0,0,1.2,2,5,-3
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/27/17,7.83,0,0,1.2,1,7,-4
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/28/17,7.83,0.03,0.6,1.2,6,15,0
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/29/17,6.26,0.08,0.8,2,12,15,9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/30/17,13.42,0,0,2,9,15,-1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",12/31/17,11.18,0,0,2,4,13,-1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/1/18,10.74,0,0,1.2,-2,1,-9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/2/18,11.18,0,0,1.2,-2,8,-9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/3/18,12.3,0,0.1,1.2,11,17,6
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/4/18,12.3,0,0,1.2,7,12,0
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/5/18,10.74,0,0,1.2,5,11,-1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/6/18,6.49,0,0,1.2,5,17,-2
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/7/18,14.99,0.03,0,1,17,33,8
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/8/18,11.86,0,0,1.2,34,37,31
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/9/18,6.04,0,0,0,31,36,26
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/10/18,15.88,0.01,0,0,37,56,30
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/11/18,16.33,0.36,0,0,56,59,23
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/12/18,19.91,0,0,0,23,23,14
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/13/18,9.84,0,0,0,13,16,6
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/14/18,9.4,0.08,0.8,0,12,21,5
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/15/18,10.96,0.14,2.3,2,19,24,10
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/16/18,11.86,0.01,0.6,3.1,15,26,9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/17/18,12.3,0,0,3.1,13,20,4
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/18/18,14.99,0,0,2,21,32,16
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/19/18,16.78,0,0,2,32,40,28
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/20/18,8.28,0,0,0,39,45,32
