"STATION","NAME","DATE","PRCP","TMAX"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-01-30","0.00","30"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-01-31","0.09","26"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-02-01","0.74","23"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-02-02","0.74","23"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-02-03","0.00","16"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-02-04","0.00","25"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-02-05","0.00","28"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-02-06","0.20","32"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-02-07","0.13","32"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-02-08","0.00","20"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-02-09","0.00","12"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-02-10","0.00","16"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-02-11","0.00","30"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-02-12","0.00","37"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-02-13","0.00","45"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-02-14","0.00","42"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-02-15","0.00","38"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-02-16","0.00","49"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-02-17","0.00","56"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-02-18","0.00","50"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-02-19","0.00","35"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-02-20","0.95","36"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-02-21","0.00","33"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-02-22","0.03","27"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-02-23","0.11","33"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-02-24","0.00","36"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-02-25","0.11","36"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-02-26","0.12","33"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-02-27","0.25","36"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-02-28","0.14","37"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-03-01","0.00","43"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-03-02","0.00","37"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-03-03","0.00","45"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-03-04","1.11","54"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-03-05","0.16","36"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-03-06","0.00","34"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-03-07","0.00","34"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-03-08","0.01","45"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-03-09","0.39","44"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-03-10","0.00","37"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-03-11","0.00","47"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-03-12","0.00","44"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-03-13","0.00","41"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-03-14","0.00","42"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-03-15","0.00","39"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-03-16","0.00","60"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-03-17","0.00","67"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-03-18","0.00","53"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-03-19","0.00","50"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-03-20","0.32","57"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-03-21","0.02","60"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-03-22","0.30","42"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-03-23","0.30","41"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-03-24","0.01","34"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-03-25","0.00","34"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-03-26","0.00","32"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-03-27","0.00","35"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-03-28","0.00","36"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-03-29","0.00","42"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-03-30","0.00","45"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-03-31","0.00","48"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-04-01","0.18","45"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-04-02","0.00","54"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-04-03","0.13","72"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-04-04","0.11","68"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-04-05","0.00","53"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-04-06","0.00","59"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-04-07","0.25","46"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-04-08","0.51","45"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-04-09","0.00","66"
