STATION,NAME,DATE,PRCP,TMAX
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/30/11,0,30
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",1/31/11,0.09,26
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/1/11,0.74,23
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/2/11,0.74,23
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/3/11,0,16
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/4/11,0,25
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/5/11,0,28
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/6/11,0.2,32
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/7/11,0.13,32
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/8/11,0,20
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/9/11,0,12
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/10/11,0,16
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/11/11,0,30
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/12/11,0,37
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/13/11,0,45
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/14/11,0,42
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/15/11,0,38
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/16/11,0,49
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/17/11,0,56
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/18/11,0,50
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/19/11,0,35
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/20/11,0.95,36
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/21/11,0,33
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/22/11,0.03,27
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/23/11,0.11,33
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/24/11,0,36
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/25/11,0.11,36
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/26/11,0.12,33
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/27/11,0.25,36
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2/28/11,0.14,37
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/1/11,0,43
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/2/11,0,37
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/3/11,0,45
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/4/11,1.11,54
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/5/11,0.16,36
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/6/11,0,34
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/7/11,0,34
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/8/11,0.01,45
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/9/11,0.39,44
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/10/11,0,37
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/11/11,0,47
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/12/11,0,44
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/13/11,0,41
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/14/11,0,42
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/15/11,0,39
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/16/11,0,60
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/17/11,0,67
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/18/11,0,53
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/19/11,0,50
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/20/11,0.32,57
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/21/11,0.02,60
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/22/11,0.3,42
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/23/11,0.3,41
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/24/11,0.01,34
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/25/11,0,34
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/26/11,0,32
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/27/11,0,35
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/28/11,0,36
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",3/29/11,0,42
